Std,Su,Sy,A5,Bhn,E,G,mu,Ro,pH,HV
ANSI ANSI Copper Alloy C15720 Desconhecido,441,372,25.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C15760 Desconhecido,483,448,22.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C16200 Desconhecido,241,48,57.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C16500 Desconhecido,276,97,53.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C17000 Desconhecido,483,221,45.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C17300 Desconhecido,469,172,48.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C17500 Desconhecido,310,172,28.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C18200 Desconhecido,234,97,40.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C18900 Desconhecido,262,62,48.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C19000 Desconhecido,262,138,50.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C19100 Desconhecido,248,69,27.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C19200 Desconhecido,255,76,40.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C19400 Desconhecido,310,165,32.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C19500 Desconhecido,552,448,15.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Copper Alloy C21000 Desconhecido,234,69,45.0,0.0,108000,40000,0.35,8930,0.0,0.0
ANSI ANSI Commercial bronze C22000 Desconhecido,255,69,50.0,0.0,105000,40000,0.32,8800,0.0,0.0
ANSI ANSI Red brass C23000 Desconhecido,269,69,55.0,0.0,105000,40000,0.32,8800,0.0,0.0
ANSI ANSI Low brass C24000 Desconhecido,290,83,55.0,0.0,105000,40000,0.32,8800,0.0,0.0
ANSI ANSI Cartridge brass C26000 Desconhecido,303,76,66.0,0.0,105000,40000,0.32,8800,0.0,0.0
